time	susceptible (total) median	susceptible (total) lower bound	susceptible (total) upper bound	severe (total) median	severe (total) lower bound	severe (total) upper bound	exposed (total) median	exposed (total) lower bound	exposed (total) upper bound	overflow (total) median	overflow (total) lower bound	overflow (total) upper bound	ICU (total) median	ICU (total) lower bound	ICU (total) upper bound	infectious (total) median	infectious (total) lower bound	infectious (total) upper bound	weeklyFatality (total) median	weeklyFatality (total) lower bound	weeklyFatality (total) upper bound	cumulative recovered (total) median	cumulative recovered (total) lower bound	cumulative recovered (total) upper bound	cumulative hospitalized (total) median	cumulative hospitalized (total) lower bound	cumulative hospitalized (total) upper bound	cumulative ICU (total) median	cumulative ICU (total) lower bound	cumulative ICU (total) upper bound	cumulative fatality (total) median	cumulative fatality (total) lower bound	cumulative fatality (total) upper bound
2020-02-01	55643340	55643340	55643340	17863	0	0	393551	536144	536144	823	0	0	341	0	0	353341	229776	229776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-02	55367540	55426406	55451139	19537	226	227	554296	577489	601854	0	0	0	1357	1	1	365794	306314	306661	239	0	0	100496	76839	76859	3253	236	237	376	1	1	239	0	0
2020-02-03	55078884	55154578	55211212	21247	581	596	707089	661821	714571	0	0	0	1559	5	5	393725	368817	372264	499	0	0	206257	173104	173553	6676	626	641	786	5	5	499	0	0
2020-02-04	54760875	54831926	54929868	23182	1292	1366	851745	772646	856876	0	0	0	1768	15	16	447513	429864	441271	786	4	4	323391	286385	288770	10469	1417	1495	1233	16	17	786	4	4
2020-02-05	54395178	54453082	54605762	25540	2625	2846	1002257	901849	1022960	0	0	0	1989	40	44	524342	498346	522922	1103	15	16	458851	417372	424625	14858	2920	3157	1722	46	49	1103	15	16
2020-02-06	53967546	54007906	54233153	28463	4781	5273	1172041	1048412	1214914	0	0	0	2231	93	102	619216	578626	621505	1456	42	47	618308	568681	585165	20028	5398	5937	2265	107	118	1456	42	47
2020-02-07	53467040	53484508	53804568	32048	7869	8792	1369097	1214692	1437742	0	0	0	2501	187	208	730272	672591	739283	1852	96	109	806450	743849	775396	26132	9041	10072	2873	220	245	1852	96	109
2020-02-08	52883624	52870267	53311994	36385	11940	13491	1597559	1403799	1696653	0	0	0	2810	334	375	858675	781503	878470	2299	189	214	1027909	946894	1000991	33320	13979	15747	3561	404	453	2299	189	214
2020-02-09	52206682	52151899	52747136	41574	17011	19435	1860089	1618565	1996271	0	0	0	3167	547	620	1007064	906837	1041863	2568	333	380	1287877	1182245	1268356	41760	20316	23129	4344	680	768	2806	333	380
2020-02-10	51424688	51315431	52101383	47732	23104	26697	2159057	1861361	2340553	0	0	0	3584	837	956	1178456	1050411	1232787	2887	541	620	1592357	1454803	1584769	51648	28158	32402	5242	1067	1215	3386	541	621
2020-02-11	50525513	50346409	51365821	54994	30253	35375	2496635	2134120	2732683	0	0	0	4071	1212	1397	1375810	1214254	1454832	3264	824	952	1948187	1770009	1958477	63204	37625	43777	6275	1588	1823	4050	828	956
