time	susceptible (total) median	susceptible (total) lower bound	susceptible (total) upper bound	severe (total) median	severe (total) lower bound	severe (total) upper bound	exposed (total) median	exposed (total) lower bound	exposed (total) upper bound	overflow (total) median	overflow (total) lower bound	overflow (total) upper bound	ICU (total) median	ICU (total) lower bound	ICU (total) upper bound	infectious (total) median	infectious (total) lower bound	infectious (total) upper bound	weeklyFatality (total) median	weeklyFatality (total) lower bound	weeklyFatality (total) upper bound	cumulative recovered (total) median	cumulative recovered (total) lower bound	cumulative recovered (total) upper bound	cumulative hospitalized (total) median	cumulative hospitalized (total) lower bound	cumulative hospitalized (total) upper bound	cumulative ICU (total) median	cumulative ICU (total) lower bound	cumulative ICU (total) upper bound	cumulative fatality (total) median	cumulative fatality (total) lower bound	cumulative fatality (total) upper bound
2020-02-01	55643340	55643340	55643340	18277	0	0	412547	536144	536144	812	0	0	509	0	0	333775	229776	229776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-02	55378734	55426406	55451139	19802	226	227	556975	577489	601854	0	0	0	1499	1	1	355526	306314	306661	248	0	0	96476	76839	76859	3120	236	237	383	1	1	248	0	0
2020-02-03	55095613	55154578	55211212	21437	581	596	701195	661821	714571	0	0	0	1686	5	5	388590	368817	372264	516	0	0	200222	173104	173553	6475	626	641	797	5	5	516	0	0
2020-02-04	54780686	54831926	54929868	23330	1292	1366	842569	772646	856876	0	0	0	1881	15	16	443777	429864	441271	810	4	4	316208	286385	288770	10229	1417	1495	1247	16	17	810	4	4
2020-02-05	54417822	54453082	54605762	25651	2625	2846	991970	901849	1022960	0	0	0	2090	40	44	520008	498346	522922	1133	15	16	450587	417372	424625	14582	2920	3157	1739	46	49	1133	15	16
2020-02-06	53993691	54007906	54233153	28529	4781	5273	1160877	1048412	1214914	0	0	0	2320	93	102	613666	578626	621505	1491	42	47	608687	568681	585165	19707	5398	5937	2284	107	118	1491	42	47
2020-02-07	53497519	53484508	53804568	32062	7869	8792	1356623	1214692	1437742	0	0	0	2579	187	208	723464	672591	739283	1890	96	109	795123	743849	775396	25755	9041	10072	2892	220	245	1890	96	109
2020-02-08	52919205	52870267	53311994	36340	11940	13491	1583330	1403799	1696653	0	0	0	2877	334	375	850641	781503	878470	2340	189	214	1014527	946894	1000991	32875	13979	15747	3580	404	453	2340	189	214
2020-02-09	52248072	52151899	52747136	41464	17011	19435	1843807	1618565	1996271	0	0	0	3224	547	620	997749	906837	1041863	2601	333	380	1272094	1182245	1268356	41237	20316	23129	4362	680	768	2849	333	380
2020-02-10	51729228	51626115	52347830	47545	23100	26692	1886979	1643287	2061024	0	0	0	3630	837	956	1164795	1047886	1229562	2913	541	620	1573654	1454681	1584613	51029	28154	32397	5257	1067	1215	3429	541	621
2020-02-11	51160529	51050781	51919795	54595	30135	35224	1934804	1670681	2133415	0	0	0	4106	1211	1396	1329005	1184592	1416805	3282	824	951	1922129	1766308	1953739	62345	37504	43622	6284	1587	1822	4092	828	955
2020-02-12	50529190	50410644	51450937	62411	37871	44772	2022900	1732007	2213823	542	0	0	4114	1675	1947	1471626	1300723	1583107	3732	1190	1383	2313626	2113281	2372274	75056	48187	56639	7462	2256	2611	4865	1204	1399
2020-02-13	49846943	49698340	50952375	70750	46042	55041	2141702	1819461	2329548	1129	0	0	4114	2228	2613	1596478	1399745	1732567	4282	1639	1919	2742384	2490153	2834699	88972	59983	71222	8803	3086	3601	5773	1681	1967
