time	susceptible (total) median	susceptible (total) lower bound	susceptible (total) upper bound	severe (total) median	severe (total) lower bound	severe (total) upper bound	exposed (total) median	exposed (total) lower bound	exposed (total) upper bound	overflow (total) median	overflow (total) lower bound	overflow (total) upper bound	ICU (total) median	ICU (total) lower bound	ICU (total) upper bound	infectious (total) median	infectious (total) lower bound	infectious (total) upper bound	weeklyFatality (total) median	weeklyFatality (total) lower bound	weeklyFatality (total) upper bound	cumulative recovered (total) median	cumulative recovered (total) lower bound	cumulative recovered (total) upper bound	cumulative hospitalized (total) median	cumulative hospitalized (total) lower bound	cumulative hospitalized (total) upper bound	cumulative ICU (total) median	cumulative ICU (total) lower bound	cumulative ICU (total) upper bound	cumulative fatality (total) median	cumulative fatality (total) lower bound	cumulative fatality (total) upper bound
2020-02-01	55643340	55643340	55643340	16700	0	0	424817	536144	536144	434	0	0	812	0	0	323157	229776	229776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-02	55469071	55500961	55515161	18285	225	226	476603	511796	528261	0	0	0	1406	1	1	349455	305602	305815	228	0	0	94213	76805	76819	3047	235	235	351	1	1	228	0	0
2020-02-03	55290087	55329470	55363696	19968	547	556	526317	515111	549825	0	0	0	1577	4	4	375258	359894	362220	477	0	0	195575	172013	172308	6326	590	600	735	5	5	477	0	0
2020-02-04	55098085	55133525	55191793	21763	1096	1146	577111	541089	594355	0	0	0	1758	13	13	405102	398912	406523	751	2	3	304691	280092	281708	9856	1211	1264	1154	14	15	751	2	3
2020-02-05	54890947	54917519	55004680	23699	2028	2174	629058	579349	651508	0	0	0	1950	31	34	439713	431031	447013	1052	10	11	422842	397777	402597	13680	2279	2436	1611	36	38	1052	10	11
2020-02-06	54666655	54682227	54804421	25804	3443	3762	683503	623105	715379	0	0	0	2154	68	74	478479	462238	489162	1381	27	31	551284	523894	534609	17837	3934	4284	2108	79	86	1381	27	31
2020-02-07	54423561	54426480	54590902	28097	5377	5958	741575	669471	783968	0	0	0	2373	129	143	520825	495386	535385	1741	62	70	691088	658606	678559	22363	6254	6907	2651	154	170	1741	62	70
2020-02-08	54160258	54148441	54363240	30595	7809	8753	803891	717855	857278	0	0	0	2608	223	249	566554	531301	586351	2134	120	136	843222	802625	835726	27288	9264	10346	3241	272	303	2134	120	136
2020-02-09	53875408	53846200	54120426	33309	10687	12103	870727	768509	935897	0	0	0	2861	353	398	615750	569992	642136	2335	207	236	1008641	956792	1007510	32644	12952	14608	3884	443	498	2563	207	236
2020-02-10	53567663	53517924	53861531	36253	13950	15957	942215	821781	1020368	0	0	0	3133	524	595	668617	611316	702784	2554	331	378	1188347	1121931	1195331	38462	17289	19686	4584	676	765	3031	331	379
2020-02-11	53235637	53161838	53585711	39443	17539	20266	1018442	877886	1111042	0	0	0	3427	736	842	725370	655211	768442	2790	494	568	1383399	1298835	1400636	44777	22246	25568	5347	979	1115	3541	496	571
2020-02-12	52877921	52776188	53292174	42893	21406	24994	1099479	936912	1208121	0	0	0	3744	991	1142	786208	701697	839339	3046	698	807	1594916	1488284	1624916	51625	27797	32254	6176	1356	1555	4098	708	818
2020-02-13	52493109	52359230	52980152	46620	25513	30116	1185373	998869	1311705	0	0	0	4087	1287	1495	851300	750835	915726	3322	944	1097	1824068	1691058	1869721	59044	33925	39751	7077	1814	2096	4703	971	1128
2020-02-14	52079816	51909246	52648897	50638	29835	35620	1276130	1063728	1421819	340	0	0	4114	1624	1901	920787	802691	997836	3630	1228	1437	2072070	1907948	2136659	67073	40621	48077	8057	2358	2744	5371	1289	1507
2020-02-15	51636709	51424570	52297684	54963	34356	41503	1371697	1131428	1538400	712	0	0	4114	1999	2360	994783	857312	1085861	3983	1547	1825	2340173	2139751	2427391	75752	47883	57258	9121	2992	3507	6116	1667	1961
2020-02-16	51162526	50903630	51925828	59609	39067	47770	1471953	1201884	1661290	1099	0	0	4114	2412	2874	1073369	914728	1179947	4380	1900	2259	2629655	2387269	2743618	85123	55718	67328	10276	3719	4394	6943	2107	2496
2020-02-17	50656111	50344984	51532694	64589	43964	54429	1576697	1274973	1790205	1503	0	0	4114	2860	3440	1156585	974940	1280176	4825	2283	2739	2941812	2651303	3087069	95227	64134	78327	11528	4544	5411	7856	2614	3118
2020-02-18	50116437	49747368	51117710	69916	49046	61495	1685638	1350533	1924726	1928	0	0	4114	3344	4061	1244427	1037926	1386560	5318	2694	3263	3277948	2932648	3459483	106107	73145	90299	12884	5470	6567	8860	3190	3833
2020-02-19	49542645	49109742	50680382	75602	54317	68981	1798384	1428359	2064274	2377	0	619	4114	3861	4114	1336829	1103636	1499023	5862	3132	3847	3639356	3232085	3862589	117803	82767	103291	14351	6501	7871	9960	3840	4665
2020-02-20	48934077	48431339	50220307	81657	59779	76899	1914437	1508196	2208097	2853	292	1303	4114	4114	4114	1433663	1171987	1617390	6459	3599	4511	4027303	3550375	4298081	130358	93017	117349	15936	7641	9330	11163	4570	5640
2020-02-21	48290312	47711720	49737188	88090	65434	85258	2033182	1589739	2355260	3357	843	2009	4114	4114	4114	1534725	1242861	1741371	7103	4117	5257	4443013	3888250	4767586	143809	103914	132522	17648	8894	10954	12474	5407	6764
2020-02-22	47611204	46950821	49230850	94906	71286	94066	2153885	1672628	2504632	3890	1401	2744	4114	4114	4114	1639727	1316101	1870541	7784	4689	6083	4887641	4246405	5272632	158195	115476	148855	19494	10263	12752	13900	6356	8044
2020-02-23	46896917	46149006	48701249	102107	77333	103327	2275687	1756452	2654891	4457	1967	3512	4114	4114	4114	1748289	1391511	2004334	8504	5312	6990	5362249	4625481	5814612	173550	127720	166389	21481	11753	14732	15447	7419	9486
2020-02-24	46147959	45307111	48148494	109692	83576	113040	2397610	1840741	2804520	5060	2543	4315	4114	4114	4114	1859931	1468845	2142024	9263	5985	7981	5867783	5026061	6394738	189903	140664	185161	23618	13368	16905	17119	8599	11099
2020-02-25	45365211	44426486	47572853	117654	90014	123197	2518556	1924976	2951828	5700	3132	5160	4114	4114	4114	1974071	1547816	2282723	10063	6708	9053	6405039	5448653	7013998	207280	154322	205200	25912	15111	19279	18923	9899	12886
2020-02-26	44549950	43509019	46974769	125983	96641	133784	2637322	2008584	3094968	6379	3733	6046	4114	4114	4114	2090015	1628082	2425368	10906	7481	10188	6974639	5893675	7673110	225700	168705	226528	28370	16987	21862	20866	11321	14853
2020-02-27	43703870	42557159	46354868	134663	103451	144779	2752615	2090947	3231969	7094	4351	6976	4114	4114	4114	2206962	1709257	2568731	11792	8298	11369	7576995	6361447	8372472	245176	183823	249156	31000	18999	24664	22954	12868	17009
2020-02-28	42829085	41573913	45713967	143672	110436	156148	2863070	2171405	3360782	7847	4986	7948	4114	4114	4114	2324002	1790902	2711416	12722	9134	12596	8212281	6852172	9112119	265714	199682	273084	33809	21151	27692	25196	14541	19360
2020-02-29	41886250	40527933	45021443	152980	117584	167852	3009158	2279890	3524561	8637	5640	8963	4114	4114	4114	2440126	1872531	2851883	13698	9985	13871	8880407	7365925	9891675	287310	216282	298299	36803	23446	30954	27598	16340	21915
2020-03-01	40462265	39077616	43961268	162572	124894	179858	3595069	2715010	4156219	9461	6313	10017	4114	4114	4114	2564004	1960778	2998995	14717	10852	15194	9581617	7903102	10711002	309970	233637	324794	39988	25888	34456	30165	18271	24680
2020-03-02	39006814	37601975	42823331	172694	132558	192414	4114253	3151475	4704782	10322	7006	11113	4114	4114	4114	2743836	2091490	3203949	15785	11737	16565	10324330	8470190	11578605	333971	251959	352847	43372	28481	38205	32905	20336	27664
2020-03-03	37490124	36081509	41608302	183918	141016	206111	4555733	3553288	5156050	11227	7725	12256	4114	4114	4114	3000140	2280758	3487415	16905	12645	17991	11128183	9082119	12514783	359954	271734	383122	46969	31236	42218	35829	22543	30877
2020-03-04	35889777	34502723	40298509	196741	150658	221447	4943049	3927595	5532912	12193	8485	13466	4114	4114	4114	3312368	2514839	3825323	18089	13585	19486	12012071	9753610	13538555	388536	293443	416238	50809	34174	46524	38955	24906	34339
2020-03-05	34201898	32866435	38882013	211391	161692	238616	5295333	4294841	5891440	13243	9302	14762	4114	4114	4114	3653285	2788301	4186195	19352	14573	21066	12987697	10494500	14660626	420096	317406	452544	54926	37321	51159	42306	27441	38075
2020-03-06	32437325	30992183	37455087	227877	174171	257558	5615671	4660202	6277502	14394	10192	16163	4114	4114	4114	4003727	3103782	4547245	20714	15627	22749	14060249	11310285	15884075	454801	343800	492135	59357	40705	56158	45910	30168	42109
2020-03-07	30615110	28942816	35974292	246076	188065	278064	5895819	5017535	6607118	15662	11168	17684	4114	4114	4114	4351964	3432197	4893937	22196	16768	24555	15230729	12203903	17206909	492680	372718	534944	64139	44356	61556	49794	33108	46470
2020-03-08	28758252	26862164	34428393	265792	203304	299835	6123350	5271050	6696670	17056	12241	19328	4114	4114	4114	4689321	3768774	5215515	23819	18014	26498	16497399	13176846	18623709	533673	404206	580789	69302	48301	67381	53984	36284	51179
2020-03-09	26891547	24784413	32830635	286774	220229	322512	6286324	5416043	6695949	18581	13418	21095	4114	4114	4114	5007257	4108279	5543470	25599	19382	28593	17856167	14229448	20126226	577643	438273	629399	74877	52567	73655	58504	39718	56256
2020-03-10	25040320	22743757	31196134	308716	239832	345680	6375519	5622688	6868779	20237	14700	22979	4114	4114	4114	5296523	4443989	5883703	27547	20888	30844	19300464	15360727	21703468	624372	474884	680411	80885	57176	80392	63375	43431	61721
2020-03-11	23229288	20772466	29541557	331254	260726	368879	6385383	5831906	6733473	22014	16090	24962	4114	4114	4114	5547518	4767732	6171804	29663	22536	33246	20821079	16583756	23341800	673558	514568	733379	87342	62150	87598	68617	47442	67585
2020-03-12	21481361	18898973	27884610	353976	282667	391614	6314429	5752738	6721520	23900	17616	27025	4114	4114	4114	5751083	4996412	6260277	31938	24330	35780	22406160	17961865	25025231	724810	559180	787778	94257	67507	95269	74244	51770	73855
2020-03-13	19816509	17146275	26182066	376427	305352	413373	6165303	5820314	6628440	25875	19367	29139	4114	4114	4114	5899321	5132383	6274035	34355	26278	38421	24041455	19421041	26735952	777662	606405	843026	101628	73257	103390	80265	56428	80530
2020-03-14	18250862	15689412	24447059	398130	328420	433654	5944524	5598392	6346958	27913	21235	31275	4114	4114	4114	5986291	5308356	6403413	36888	28539	41132	25710752	20951531	28455050	831584	655920	898507	109445	79409	111937	86682	61425	87602
2020-03-15	16796177	14400065	22763730	418608	351463	453975	5661879	5228957	6185798	29986	23204	33395	4114	4114	4114	6008515	5497378	6336771	39506	30949	43877	27396499	22541073	30163333	886003	707323	953595	117689	85962	120876	93490	66771	95055
2020-03-16	15459699	13237251	21150110	437402	374038	474716	5329521	4891527	5922854	32061	25251	35465	4114	4114	4114	5965264	5459797	6300575	42174	33488	46608	29080529	24175227	31842175	940325	760143	1007683	126331	93094	130162	100678	72469	102864
2020-03-17	14244388	12197928	19621256	454097	395689	492641	4960914	4421049	5537151	34103	27350	37445	4114	4114	4114	5858596	5506341	6240448	44848	36126	49279	30744834	25837849	33474300	993966	813851	1060211	135332	100859	139745	108224	78608	110999
2020-03-18	13149434	11276222	18188749	468339	415960	506964	4569738	4051844	5254808	36076	29471	39301	4114	4114	4114	5693149	5406480	6061410	47485	38831	51838	32372315	27511713	35044437	1046369	867885	1110684	144647	109050	149569	116102	85345	119423
2020-03-19	12170952	10464282	16860473	479853	427508	511979	4168935	3707736	4989934	37945	31580	41080	4114	4114	4114	5475736	5146654	5898597	50036	41565	54237	33947452	29179209	36539811	1097031	921672	1158689	154224	117632	159573	124280	92463	128092
2020-03-20	11302745	9753053	15640696	488451	436710	513705	3769963	3368305	4693031	39676	33644	42966	4114	4114	4114	5214772	4855101	5662367	52454	44287	56546	35456828	30823071	37950428	1145517	974649	1203906	164006	126567	169693	132719	99938	136961
2020-03-21	10537049	9132939	14530378	494036	446800	516515	3382319	3040007	4373862	41238	35628	44631	4114	4114	4114	4919641	4527133	5423843	54693	46952	58993	36889496	32427072	39345136	1191475	1026290	1249180	173933	135806	179867	141375	107743	145980
2020-03-22	9865200	8594309	13527652	496599	458527	519973	3013333	2717755	4041960	42606	37496	46047	4114	4114	4114	4600052	4135555	5102433	56712	49516	61152	38237161	33976625	40711290	1234640	1076121	1292880	183944	145298	190033	150203	115842	155100
2020-03-23	9278184	8127868	12628398	496215	467610	513656	2668186	2352811	3681983	43759	38869	47026	4114	4114	4114	4265464	3825093	4891525	58476	51931	62982	39494193	35459248	41965398	1274833	1123740	1332912	193980	154984	200134	159154	124197	164270
2020-03-24	8767053	7706792	11892266	493028	463912	510841	2350099	2027006	3305696	44681	39828	47409	4114	4114	4114	3924618	3527197	4650524	59956	53649	64157	40657496	36864867	43107080	1311958	1168823	1369270	203983	164807	210114	168180	132764	173440
2020-03-25	8323228	7257594	11342920	487240	463814	506745	2060620	1739455	2985851	45363	40602	47534	4114	4114	4114	3585207	3232594	4386560	61130	54868	64610	41726264	38185961	44138573	1345994	1211128	1402032	213897	174705	219925	177233	141496	182565
2020-03-26	7938688	6873419	10855233	479097	464387	499885	1799962	1488038	2691066	45802	41650	47773	4114	4114	4114	3253675	2945914	4106767	61986	55844	64717	42701664	39359768	45064183	1376985	1247506	1431345	223674	184620	229525	186266	150346	191600
2020-03-27	7606084	6545366	10423391	468873	455068	486708	1567338	1269874	2413512	45999	42619	48093	4114	4114	4114	2935146	2670821	3817944	62517	57271	65156	43586478	40288043	45889745	1405026	1277037	1457406	233267	194496	238876	195236	159265	200505
2020-03-28	7318780	6265543	10041819	456858	440510	479076	1361266	1081707	2155283	45961	43366	47584	4114	4114	4114	2633446	2383281	3511389	62726	58504	65345	44384743	41142611	46622123	1430253	1304167	1480442	242639	204280	247948	204101	168207	209245
2020-03-29	7070854	6027039	9705270	443344	424781	465777	1179827	920178	1917490	45697	43075	47208	4114	4114	4114	2351204	2090986	3187954	62621	59330	64609	45101404	41925500	47268779	1452831	1328966	1500701	251756	213923	256716	212824	177126	217789
2020-03-30	6857067	5823849	9335796	428617	409880	454569	1020872	789334	1700437	45224	42941	46881	4114	4114	4114	2090000	1826803	2894300	62219	58782	64262	45742001	42639541	47812825	1472946	1351529	1516728	260591	223382	265161	221373	185979	226108
2020-03-31	6672821	5650794	9004240	412951	394650	437645	882176	678789	1491370	44556	42993	46332	4114	4114	4114	1850530	1590082	2633074	61538	58792	63767	46312403	43288166	48231754	1490790	1371971	1529669	269121	232620	273402	229718	194726	234181
2020-04-01	6514096	5503424	8713982	396598	376008	422926	761546	583376	1304324	43712	42347	45420	4114	4114	4114	1632782	1379543	2384618	60602	58811	62980	46818586	43912271	48598859	1506563	1392853	1540947	277331	241605	281694	237835	203331	241988
2020-04-02	6377396	5414545	8460171	379790	357374	410457	656897	501157	1138540	42713	41392	44574	4114	4114	4114	1436199	1193494	2150747	59436	57678	61567	47266457	44581916	48919907	1520458	1413935	1550753	285208	250310	289606	245703	211761	249515
2020-04-03	6259687	5341478	8238435	362731	339021	397009	566293	430394	992266	41579	40055	43551	4114	4114	4114	1259832	1029993	1932607	58069	56247	60635	47661728	45182712	49200212	1532664	1432789	1559260	292745	258715	297136	253305	219989	257082
2020-04-04	6158344	5279007	8044864	345602	323309	382796	487971	369545	863684	40329	38632	42518	4114	4114	4114	1102463	886995	1730772	56529	54445	59139	48009816	45719868	49444616	1543357	1449586	1566626	299940	266804	304285	260630	227991	264474
2020-04-05	6071099	5225593	7875983	328557	307688	368023	420345	317256	750997	38985	37309	41291	4114	4114	4114	962711	762439	1545346	54842	52537	57942	48315791	46198656	49657493	1552705	1464502	1572994	306791	274565	311060	267666	235747	271542
2020-04-06	5995994	5179919	7728712	311729	292268	352873	362008	272343	652481	37565	35960	39780	4114	4114	4114	839116	657041	1368424	53036	51016	56023	48584333	46624276	49842761	1560861	1477707	1578490	313301	281992	317468	274409	243241	278283
2020-04-07	5931341	5140861	7600334	295225	277140	337512	311717	233779	566524	36087	34290	38476	4114	4114	4114	730204	568879	1206758	51136	48896	54016	48819726	47001749	50003911	1567964	1489366	1583229	319477	288323	323518	280854	250460	284697
2020-04-08	5875687	5107458	7488461	279133	262378	322088	268383	200672	491642	34568	32612	37315	4114	4114	4114	634529	491992	1061841	49167	46687	52530	49025853	47335850	50144031	1574140	1499637	1587311	325325	294264	329223	287002	257396	290787
2020-04-09	5827779	5078890	7390994	263523	248042	306729	231056	172254	426490	33022	30938	36075	4114	4114	4114	550710	425080	932504	47151	44476	50967	49206211	47631056	50265847	1579504	1508666	1590823	330854	299915	334595	292854	263785	296559
2020-04-10	5786537	5054456	7306094	248448	234177	291148	198913	147863	369858	31463	29342	34771	4114	4114	4114	477451	366958	817514	45107	42279	49305	49363928	47891517	50371751	1584157	1516588	1593942	336073	305283	339646	298413	269386	302019
2020-04-11	5751035	5033556	7232152	233948	220820	275341	171237	126928	320669	29905	27897	33419	4114	4114	4114	413553	316551	715622	43055	40361	47565	49501793	48121045	50471293	1588189	1523527	1597729	340995	310373	344392	303684	274730	307176
2020-04-12	5720473	5015678	7167762	220048	207994	260004	147411	108960	277972	28356	26462	32031	4114	4114	4114	357916	272896	625598	41008	38468	45767	49622277	48323114	50584890	1591680	1529598	1600975	345630	315193	348846	308675	279817	312039
2020-04-13	5694162	5000386	7111696	206765	195715	245191	126900	93539	240927	26827	25046	30621	4114	4114	4114	309547	235133	546264	38983	36596	43930	49727563	48500868	50683385	1594700	1534902	1603755	349991	319751	353024	313391	284653	316618
2020-04-14	5671512	4987304	7062882	194106	183990	231128	109243	80302	208796	25324	23655	29201	4114	4114	4114	267553	202500	476506	36989	34753	42070	49819573	48657139	50768815	1597311	1539531	1606135	354091	324057	356938	317843	289243	320924
2020-04-15	5652012	4976112	7020384	182072	172822	218163	94045	68941	180936	23856	22295	27780	4114	4114	4114	231134	174325	415287	35037	32949	40202	49899997	48794462	50842948	1599568	1543568	1608171	357940	328120	360604	322039	293592	324969
2020-04-16	5635224	4966538	6983387	170656	161615	205691	80962	59188	156783	22427	20971	26367	4114	4114	4114	199582	150018	361653	33135	31190	38340	49970315	48915097	50907316	1601517	1546767	1609913	361553	332249	364034	325989	297706	328763
2020-04-17	5620771	4958347	6951181	159848	150998	193732	69700	50817	135849	21041	19686	24939	4114	4114	4114	172270	129061	314732	31289	29483	36484	50031822	49009658	50963248	1603199	1548590	1611401	364941	336420	366980	329702	301594	332319
2020-04-18	5608328	4951339	6923146	149634	141015	182294	60006	43630	117705	19702	18444	23495	4114	4114	4114	148644	111004	273738	29505	27831	34564	50085651	49067191	51011890	1604651	1550178	1612673	368116	340344	369698	333189	305264	335648
2020-04-19	5597615	4945343	6898742	139996	131639	171382	51660	37461	101983	18412	17246	22089	4114	4114	4114	128221	95451	237961	27786	26237	32693	50132789	49117894	51054236	1605904	1551561	1613759	371090	344032	372238	336461	309127	338762
2020-04-20	5588391	4940214	6877500	130915	122844	160995	44476	32164	88358	17174	16096	20726	4114	4114	4114	110577	82062	206767	26135	24703	30878	50174096	49162599	51091138	1606985	1552765	1614687	373874	347496	374612	339526	312901	341390
2020-04-21	5580450	4935825	6859011	122368	114601	151128	38292	27617	76553	15989	14993	19408	4114	4114	4114	95339	70539	179593	24552	23232	29122	50210321	49202032	51123336	1607916	1553813	1615479	376479	350747	376830	342395	316451	343838
2020-04-22	5573613	4932070	6842917	114335	106883	141770	32967	23713	66324	14858	13939	18176	4114	4114	4114	82186	60626	155938	23040	21823	27476	50242118	49236836	51151465	1608719	1554725	1616155	378916	353796	378901	345079	319788	346120
2020-04-23	5567726	4928857	6828909	106791	99662	132911	28384	20361	57462	13779	12933	17010	4114	4114	4114	70836	52099	135359	21597	20478	25925	50270053	49267573	51176072	1609412	1555519	1616732	381195	356653	380835	347585	322919	348247
2020-04-24	5562657	4926108	6816717	99715	92911	124537	24438	17483	49784	12754	11969	15888	4114	4114	4114	61045	44767	117465	20223	19154	24431	50294620	49294736	51197630	1610008	1556209	1617225	383325	359331	382640	349926	325854	350226
