time	susceptible (total) median	susceptible (total) lower bound	susceptible (total) upper bound	severe (total) median	severe (total) lower bound	severe (total) upper bound	exposed (total) median	exposed (total) lower bound	exposed (total) upper bound	overflow (total) median	overflow (total) lower bound	overflow (total) upper bound	ICU (total) median	ICU (total) lower bound	ICU (total) upper bound	infectious (total) median	infectious (total) lower bound	infectious (total) upper bound	weeklyFatality (total) median	weeklyFatality (total) lower bound	weeklyFatality (total) upper bound	cumulative recovered (total) median	cumulative recovered (total) lower bound	cumulative recovered (total) upper bound	cumulative hospitalized (total) median	cumulative hospitalized (total) lower bound	cumulative hospitalized (total) upper bound	cumulative ICU (total) median	cumulative ICU (total) lower bound	cumulative ICU (total) upper bound	cumulative fatality (total) median	cumulative fatality (total) lower bound	cumulative fatality (total) upper bound
2020-02-01	55643340	55643340	55643340	18154	0	0	412596	536144	536144	783	0	0	536	0	0	333851	229776	229776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-02	55378679	55426406	55451139	19690	226	227	557065	577489	601854	0	0	0	1495	1	1	355596	306314	306661	247	0	0	96489	76839	76859	3120	236	237	380	1	1	247	0	0
2020-02-03	55095505	55154578	55211212	21335	581	596	701317	661821	714571	0	0	0	1681	5	5	388660	368817	372264	513	0	0	200248	173104	173553	6476	626	641	793	5	5	513	0	0
2020-02-04	54780523	54831926	54929868	23237	1292	1366	842717	772646	856876	0	0	0	1875	15	16	443854	429864	441271	806	4	4	316248	286385	288770	10231	1417	1495	1240	16	17	806	4	4
2020-02-05	54417598	54453082	54605762	25566	2625	2846	992143	901849	1022960	0	0	0	2083	40	44	520099	498346	522922	1128	15	16	450645	417372	424625	14584	2920	3157	1731	46	49	1128	15	16
2020-02-06	53993394	54007906	54233153	28451	4781	5273	1161078	1048412	1214914	0	0	0	2312	93	102	613773	578626	621505	1484	42	47	608768	568681	585165	19710	5398	5937	2273	107	118	1484	42	47
2020-02-07	53497139	53484508	53804568	31992	7869	8792	1356855	1214692	1437742	0	0	0	2571	187	208	723590	672591	739283	1883	96	109	795231	743849	775396	25759	9041	10072	2881	220	245	1883	96	109
2020-02-08	52918729	52870267	53311994	36276	11940	13491	1583597	1403799	1696653	0	0	0	2869	334	375	850788	781503	878470	2331	189	214	1014669	946894	1000991	32881	13979	15747	3567	404	453	2331	189	214
2020-02-09	52466724	52351077	52938969	41402	17008	19431	1627502	1454362	1795073	0	0	0	3216	547	620	995421	904938	1039546	2593	333	380	1272156	1182153	1268244	41240	20313	23125	4348	680	768	2839	333	380
2020-02-10	51968973	51769165	52526183	47381	23016	26589	1677054	1511186	1890027	0	0	0	3621	836	955	1138458	1028074	1205411	2905	540	620	1570355	1452018	1581361	50922	28067	32290	5241	1066	1215	3418	541	621
2020-02-11	51414073	51112839	52043534	54047	29770	34781	1762536	1597357	2017072	0	0	0	4092	1207	1390	1264212	1139001	1362052	3271	822	949	1906222	1754489	1939409	61826	37117	43153	6262	1582	1816	4077	825	952
