time	susceptible (total) median	susceptible (total) lower bound	susceptible (total) upper bound	severe (total) median	severe (total) lower bound	severe (total) upper bound	exposed (total) median	exposed (total) lower bound	exposed (total) upper bound	overflow (total) median	overflow (total) lower bound	overflow (total) upper bound	ICU (total) median	ICU (total) lower bound	ICU (total) upper bound	infectious (total) median	infectious (total) lower bound	infectious (total) upper bound	weeklyFatality (total) median	weeklyFatality (total) lower bound	weeklyFatality (total) upper bound	cumulative recovered (total) median	cumulative recovered (total) lower bound	cumulative recovered (total) upper bound	cumulative hospitalized (total) median	cumulative hospitalized (total) lower bound	cumulative hospitalized (total) upper bound	cumulative ICU (total) median	cumulative ICU (total) lower bound	cumulative ICU (total) upper bound	cumulative fatality (total) median	cumulative fatality (total) lower bound	cumulative fatality (total) upper bound
2020-02-01	55643340	55643340	55643340	18104	0	0	396965	536144	536144	842	0	0	359	0	0	349650	229776	229776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-02	55369669	55426406	55451139	19737	226	227	554663	577489	601854	0	0	0	1393	1	1	363815	306314	306661	242	0	0	99741	76839	76859	3228	236	237	380	1	1	242	0	0
2020-02-03	55082100	55154578	55211212	21420	581	596	705839	661821	714571	0	0	0	1593	5	5	392686	368817	372264	506	0	0	205115	173104	173553	6638	626	641	794	5	5	506	0	0
2020-02-04	54764732	54831926	54929868	23336	1292	1366	849857	772646	856876	0	0	0	1801	15	16	446720	429864	441271	796	4	4	322018	286385	288770	10422	1417	1495	1244	16	17	796	4	4
2020-02-05	54399640	54453082	54605762	25676	2625	2846	1000131	901849	1022960	0	0	0	2021	40	44	523421	498346	522922	1116	15	16	457255	417372	424625	14804	2920	3157	1736	46	49	1116	15	16
2020-02-06	53972749	54007906	54233153	28580	4781	5273	1169717	1048412	1214914	0	0	0	2260	93	102	618050	578626	621505	1472	42	47	616432	568681	585165	19964	5398	5937	2282	107	118	1472	42	47
2020-02-07	53473153	53484508	53804568	32146	7869	8792	1366489	1214692	1437742	0	0	0	2529	187	208	728849	672591	739283	1870	96	109	804223	743849	775396	26057	9041	10072	2892	220	245	1870	96	109
2020-02-08	52890805	52870267	53311994	36464	11940	13491	1594581	1403799	1696653	0	0	0	2836	334	375	856997	781503	878470	2319	189	214	1025258	946894	1000991	33230	13979	15747	3582	404	453	2319	189	214
2020-02-09	52215079	52151899	52747136	41633	17011	19435	1856680	1618565	1996271	0	0	0	3191	547	620	1005118	906837	1041863	2586	333	380	1284730	1182245	1268356	41654	20316	23129	4367	680	768	2828	333	380
2020-02-10	51434448	51315431	52101383	47770	23104	26697	2155181	1861361	2340553	0	0	0	3605	837	956	1176214	1050411	1232787	2903	541	620	1588635	1454803	1584769	51523	28158	32402	5265	1067	1215	3409	541	621
2020-02-11	50536784	50346409	51365821	55009	30253	35375	2492267	2134120	2732683	0	0	0	4090	1212	1397	1373235	1214254	1454832	3278	824	952	1943801	1770009	1958477	63058	37625	43777	6299	1588	1823	4074	828	956
2020-02-12	49509920	49230424	50531402	63500	38511	45595	2869502	2438263	3174695	540	0	0	4114	1682	1956	1598977	1400446	1711615	3737	1193	1388	2357865	2133872	2398729	76507	48861	57505	7490	2263	2621	4853	1208	1404
2020-02-13	48342322	47953918	49589239	73398	47956	57511	3287276	2774506	3666857	1161	0	0	4114	2257	2650	1856006	1610986	2006525	4308	1655	1940	2839216	2552966	2915754	92143	62038	73874	8867	3118	3641	5779	1697	1987
2020-02-14	47023897	46505253	48531025	84871	58681	71302	3744229	3142562	4206894	1864	0	0	4114	2944	3492	2146508	1847656	2342434	5006	2215	2620	3396913	3034390	3520654	110259	77351	93211	10458	4175	4921	6876	2311	2729
2020-02-15	45546952	44876025	47349556	98086	70795	87158	4236687	3540794	4789141	2665	0	398	4114	3755	4114	2472048	2111874	2721311	5847	2881	3444	4040554	3585685	4225219	131167	95018	115871	12298	5463	6499	8166	3070	3659
2020-02-16	44437918	43559461	46451190	113201	84401	105260	4233945	3464967	4745674	3580	578	1551	4114	4114	4114	2827082	2398633	3136009	6850	3670	4473	4779755	4214432	5041229	155178	115263	142215	14423	7011	8419	9678	4002	4852
2020-02-17	43264972	42151720	45500788	130113	99370	125462	4219530	3406146	4835529	4624	1629	2835	4114	4114	4114	3158088	2657520	3518889	8033	4628	5734	5616392	4920952	5970658	182349	138077	172287	16871	8847	10727	11442	5169	6355
2020-02-18	42010776	40737213	44483084	148244	115128	147022	4267331	3450570	4976298	5805	2753	4269	4114	4114	4114	3422733	2848999	3816278	9407	5768	7241	6536792	5690931	6995809	212230	162978	205491	19673	10995	13457	13480	6596	8197
2020-02-19	40708076	39330507	43421742	166933	131035	169096	4356125	3531392	5073211	7117	3963	5856	4114	4114	4114	3628223	2981262	4049398	10960	7086	8993	7522875	6506141	8093326	244226	189358	241051	22848	13463	16628	15812	8294	10397
2020-02-20	39380560	37906559	42397207	185729	146667	191102	4453494	3623759	5173974	8543	5246	7561	4114	4114	4114	3796985	3081018	4299016	12673	8572	10978	8561397	7353417	9245872	277902	216778	278392	26401	16250	20245	18453	10269	12965
2020-02-21	38042838	36439099	41389740	204391	161822	212729	4536939	3710204	5281675	10063	6585	9368	4114	4114	4114	3944890	3201571	4528649	14536	10203	13180	9644628	8225460	10443082	313006	244994	317168	30331	19349	24303	21411	12515	15909
2020-02-22	36704563	34853510	40383641	222790	176425	234636	4595658	3782187	5386506	11655	7963	11251	4114	4114	4114	4077985	3313802	4733212	16529	11961	15573	10767815	9118442	11678445	349382	273879	357163	34636	22748	28792	24694	15031	19231
2020-02-23	35373632	33273047	39382764	240829	190443	257651	4626006	3836616	5449763	13303	9363	13184	4114	4114	4114	4196165	3418038	4864103	18627	13814	18081	11926920	10029805	12998041	386899	303347	399927	39309	26437	33700	28305	17816	22933
2020-02-24	34057592	31709991	38390560	258405	204568	280409	4627477	3872681	5469763	14989	10769	15145	4114	4114	4114	4296981	3512635	4969130	20801	15695	20657	13117474	10957070	14402569	425410	333315	445390	44341	30403	39014	32243	20864	27012
2020-02-25	32763894	30176428	37410505	275398	219015	302691	4600651	3867705	5446335	16696	12170	17263	4114	4114	4114	4377752	3595625	5050753	23026	17574	23263	14334264	11908582	15850117	464746	364104	492223	49723	34635	44715	36506	24170	31460
2020-02-26	31499700	28683795	36446081	291676	233007	324255	4546540	3842979	5380374	18415	13553	19419	4114	4114	4114	4436352	3665323	5151141	25277	19432	26027	15571395	12927157	17331556	504715	397015	540125	55440	39118	50883	41090	27726	36266
2020-02-27	30271614	27242420	35500644	307103	246462	344150	4466526	3800946	5273841	20122	14984	21589	4114	4114	4114	4471349	3720427	5217035	27529	21255	28853	16822471	13963859	18836770	545109	430495	588768	61479	43839	57621	45982	31523	41530
2020-02-28	29085476	25861169	34577312	321543	259294	360873	4362421	3742381	5129792	21809	16430	23751	4114	4114	4114	4481961	3759974	5246646	29761	23110	31685	18080784	15014476	20354980	585711	464408	637798	67820	48782	64764	51172	35551	47265
2020-02-29	27946237	24547239	33678894	334866	271417	375994	4236489	3668285	4952283	23459	17855	25882	4114	4114	4114	4467986	3774309	5239221	31953	25002	34495	19339483	16074567	21875067	626297	498607	686854	74443	53975	72285	56647	39797	53375
2020-03-01	26857886	23363412	32807853	346954	282748	389369	4091383	3579900	4746176	25057	19246	27959	4114	4114	4114	4429766	3759216	5195037	34087	26858	37254	20591729	17139539	23287444	666646	532943	732207	81322	59561	80152	62391	44295	59841
2020-03-02	25823444	22314357	31966282	357701	293207	400879	3930052	3478676	4516868	26590	20598	29805	4114	4114	4114	4368150	3728241	5115374	36144	28664	39934	21830842	18204730	24662358	706542	567266	776463	88434	65368	88330	68387	49132	66640
2020-03-03	24844977	21338176	31155902	367021	302721	412075	3755615	3366227	4270007	28043	21901	31489	4114	4114	4114	4284461	3681917	5002440	38108	30409	42326	23050436	19265484	26002391	745777	601425	819556	95750	71378	96778	74615	54184	73744
